correlation,strategy,recall,qps,time_s
Positive,ACORN,0.838366,1102.5077574873483,9.070230963989161
Positive,Post-filter,0.503819,15752.4,0.634824
Positive,Pre-filter,0.9998790000000001,143.693,69.5927
Negative,ACORN,0.8506030000000001,1149.1666783589915,8.701957851997577
Negative,Post-filter,0.26075199999999993,623.074,16.0495
Negative,Pre-filter,0.999862,128.732,77.681
Random,ACORN,0.9223740000000001,1102.257439739853,9.072290772979613
Random,Post-filter,0.434424,18547.7,0.539149
Random,Pre-filter,0.9999110000000001,125.19,79.8783
