metric,tau,actual_class,metric_accuracy,negative,random,positive
heuristic,0.030752008122741648,negative,0.5,9,0,0
heuristic,0.030752008122741648,random,0.5,5,0,10
heuristic,0.030752008122741648,positive,0.5,0,0,6
tanh,0.030752008122741648,negative,0.8333333333333334,9,0,0
tanh,0.030752008122741648,random,0.8333333333333334,0,10,5
tanh,0.030752008122741648,positive,0.8333333333333334,0,0,6
pgap,0.030752008122741648,negative,0.8333333333333334,9,0,0
pgap,0.030752008122741648,random,0.8333333333333334,0,10,5
pgap,0.030752008122741648,positive,0.8333333333333334,0,0,6
