query_id,correlation_type,heuristic_correlation,tanh_correlation,pgap_correlation,js_divergence,lift,p_c,p_g,true_correlation,expected_random_gk,admissible_gk,subset_size,k_used
0,Positive,0.5134727540826185,0.20228369526516105,0.12757212074727545,0.5134727540826185,0.41646966045408523,0.7293838382131818,0.4809341985138007,0.02607134498072705,240.22625615577107,233.96323455810546,502881,100
0,Negative,0.5134727540826185,0.26636009430455027,0.19719875531486897,0.5134727540826185,0.5746176273385591,0.8786702108687612,0.4946210987261149,-0.01432601789575892,240.12726676856465,243.5673342895508,508195,100
0,Random,0.10761222521494597,0.0020927825780096498,0.001074229999161952,0.10761222521494597,0.019449894897616813,0.5182449160035367,0.5082624999999993,-0.0010526023031745342,240.13245742727437,240.38522140502928,507915,100
1,Positive,0.5313487423683956,0.37797875380972595,0.26839148962513404,0.5313487423683956,0.8899260415262652,0.8571215553658591,0.35200792993630575,0.06052437566813775,244.36379225614712,229.5738262939453,328142,100
1,Negative,-0.5313487423683956,-0.5091784049951288,-0.2244533719726024,0.5313487423683956,-1.9243637475565933,0.07219914855429344,0.4946210987261149,-0.618705617989976,238.43182205660048,385.9509298706055,508195,100
1,Random,-0.1173744375480438,-0.0026727133644385464,-0.0013419125000401363,0.1173744375480438,-0.022774766870366805,0.49629725085910686,0.5077299999999993,-0.002082123172435089,238.58809272178743,239.08486251831056,502309,100
2,Positive,0.5688173186541832,0.40067942717128346,0.2959930980359163,0.5688173186541832,0.8759963463730428,0.8917197452229302,0.37135391188959677,0.04636924521806961,278.8675381804376,265.9366609191895,375561,100
2,Negative,-0.5688173186541832,-0.5299733274680211,-0.237303475126042,0.5688173186541832,-1.6712060217721434,0.09660297239915075,0.5137904723991507,-0.46004115079522373,275.1593008621035,401.7439022827148,500625,100
2,Random,0.12950877030982447,0.002968762410308871,0.0015567670771481185,0.12950877030982447,0.022927270263250216,0.5303238866396758,0.5183033333333332,0.010282398760767732,274.96892598979434,272.14158584594725,507894,100
3,Positive,0.5035916607403024,0.31126080290007746,0.2221268487508301,0.5035916607403024,0.7218949818682047,0.8578600015658747,0.41677476114649675,0.036993025068652846,237.69313203498558,228.90014404296875,388716,100
3,Negative,-0.5035916607403024,-0.47724390413533185,-0.2082621838100516,0.5035916607403024,-1.8085108462907278,0.08106742012886248,0.4946210987261149,-0.41782113063246823,235.0149860640012,333.20921325683594,508195,100
