metric,tau,actual_class,predicted_class,count,metric_accuracy
heuristic,0.09196226203676128,negative,negative,10,0.5333333333333333
heuristic,0.09196226203676128,negative,random,0,0.5333333333333333
heuristic,0.09196226203676128,negative,positive,0,0.5333333333333333
heuristic,0.09196226203676128,random,negative,6,0.5333333333333333
heuristic,0.09196226203676128,random,random,1,0.5333333333333333
heuristic,0.09196226203676128,random,positive,8,0.5333333333333333
heuristic,0.09196226203676128,positive,negative,0,0.5333333333333333
heuristic,0.09196226203676128,positive,random,0,0.5333333333333333
heuristic,0.09196226203676128,positive,positive,5,0.5333333333333333
tanh,0.09196226203676128,negative,negative,10,0.8333333333333334
tanh,0.09196226203676128,negative,random,0,0.8333333333333334
tanh,0.09196226203676128,negative,positive,0,0.8333333333333334
tanh,0.09196226203676128,random,negative,1,0.8333333333333334
tanh,0.09196226203676128,random,random,10,0.8333333333333334
tanh,0.09196226203676128,random,positive,4,0.8333333333333334
tanh,0.09196226203676128,positive,negative,0,0.8333333333333334
tanh,0.09196226203676128,positive,random,0,0.8333333333333334
tanh,0.09196226203676128,positive,positive,5,0.8333333333333334
pgap,0.09196226203676128,negative,negative,0,0.5
pgap,0.09196226203676128,negative,random,10,0.5
pgap,0.09196226203676128,negative,positive,0,0.5
pgap,0.09196226203676128,random,negative,0,0.5
pgap,0.09196226203676128,random,random,15,0.5
pgap,0.09196226203676128,random,positive,0,0.5
pgap,0.09196226203676128,positive,negative,0,0.5
pgap,0.09196226203676128,positive,random,5,0.5
pgap,0.09196226203676128,positive,positive,0,0.5
