correlation,strategy,recall,qps,time_s
Positive,ACORN,0.9422969999999999,1139.29157609623,8.777384306013118
Positive,Post-filter,0.841844,736.187,13.5835
Positive,Pre-filter,0.9998880000000001,3572.11,2.79947
Negative,ACORN,0.8498630000000001,1207.0876284746405,8.28440269298153
Negative,Post-filter,2e-06,731.953,13.6621
Negative,Pre-filter,0.9999030000000002,14319.6,0.698345
Random,ACORN,0.7969450000000001,1107.6826756881287,9.027856280037668
Random,Post-filter,0.59143,731.42,13.672
Random,Pre-filter,0.999979,3646.83,2.74211
