metric,tau,actual_class,metric_accuracy,negative,random,positive
heuristic,0.09196226203676128,negative,0.5333333333333333,10,0,0
heuristic,0.09196226203676128,random,0.5333333333333333,6,1,8
heuristic,0.09196226203676128,positive,0.5333333333333333,0,0,5
tanh,0.09196226203676128,negative,0.8333333333333334,10,0,0
tanh,0.09196226203676128,random,0.8333333333333334,1,10,4
tanh,0.09196226203676128,positive,0.8333333333333334,0,0,5
pgap,0.09196226203676128,negative,0.5,0,10,0
pgap,0.09196226203676128,random,0.5,0,15,0
pgap,0.09196226203676128,positive,0.5,0,5,0
