query_id,range_lo,range_hi,actual_selectivity,subset_size,k_used,true_correlation,abs_true_correlation,heuristic_correlation,abs_heuristic_correlation,tanh_correlation,abs_tanh_correlation,pgap_correlation,abs_pgap_correlation,js_divergence,lift,p_c,p_g,expected_random_gk,admissible_gk,expected_random_gk_stderr,monte_carlo_samples
0,155,255,0.101047,101047,100,0.0014107583960975703,0.0014107583960975703,0.06711286066548944,0.06711286066548944,0.0035295570702543523,0.0035295570702543523,0.00039905434101271457,0.00039905434101271457,0.06711286066548944,0.05263993403678442,0.11595551894563433,0.11000950000000004,226.39954948425293,226.0801544189453,0.2521175067722105,32
1,209,309,0.100843,100843,100,0.0034950418955383153,0.0034950418955383153,-0.0595871290183166,0.0595871290183166,-0.0016122753681780176,0.0016122753681780176,-0.00017488970956927317,0.00017488970956927317,0.0595871290183166,-0.02706404922362613,0.10698647506339815,0.10992150000000003,260.26210498809814,259.35247802734375,0.31713439844261243,32
2,741,841,0.10087,100870,100,0.0013547205733636034,0.0013547205733636034,-0.07845554106105504,0.07845554106105504,-0.0006101550759991024,0.0006101550759991024,-6.680065237342611e-05,6.680065237342611e-05,0.07845554106105504,-0.007777237522382828,0.10905405405405422,0.1099055000000001,309.8891124725342,309.46929931640625,0.3517030583888593,32
3,458,558,0.10095,100950,100,-0.007044407876888201,0.007044407876888201,-0.06173516797664611,0.06173516797664611,-0.0010415752619406771,0.0010415752619406771,-0.00011362699433727037,0.00011362699433727037,0.06173516797664611,-0.016873269194883644,0.10816344463971883,0.11000399999999994,263.4650287628174,265.32098388671875,0.29662749126360344,32
4,395,495,0.100927,100927,100,-0.0005800426956619394,0.0005800426956619394,-0.05641611379928479,0.05641611379928479,-0.004711660550635358,0.004711660550635358,-0.0004982526850461766,0.0004982526850461766,0.05641611379928479,-0.08371121038020167,0.10114825581395348,0.10998000000000008,279.7167501449585,279.8789978027344,0.2710867243444193,32
5,65,165,0.101337,101337,100,-0.0046055385242836835,0.0046055385242836835,-0.048670845446826316,0.048670845446826316,-0.002369159646567081,0.002369159646567081,-0.00025496773494857296,0.00025496773494857296,0.048670845446826316,-0.04871568401330167,0.10493638676844787,0.110175,212.00248098373413,212.97886657714844,0.3489695241062618,32
6,283,383,0.100786,100786,100,-0.006758916880962242,0.006758916880962242,-0.05769025004386388,0.05769025004386388,-0.003373998758795631,0.003373998758795631,-0.0003605098042592439,0.0003605098042592439,0.05769025004386388,-0.058551549882427834,0.10363344051446938,0.10988250000000005,271.28099727630615,273.11456298828125,0.2448175785991188,32
7,794,894,0.100675,100675,100,0.006586241643998974,0.006586241643998974,-0.05590264246265767,0.05590264246265767,-0.00023613905225051485,0.00023613905225051485,-2.5874244150864866e-05,2.5874244150864866e-05,0.05590264246265767,-0.0042241376498369934,0.10934015525758645,0.10980299999999998,282.11810779571533,280.260009765625,0.31209325035113106,32
8,432,532,0.100791,100791,100,0.002222249008410831,0.002222249008410831,0.0687025284701253,0.0687025284701253,0.002465848407678709,0.002465848407678709,0.00027601556686567257,0.00027601556686567257,0.0687025284701253,0.03590709289546225,0.11390804597701154,0.1098905,322.96068000793457,322.24298095703125,0.34525726611235436,32
9,368,468,0.100853,100853,100,-0.0034680366925066578,0.0034680366925066578,-0.06927731040690696,0.06927731040690696,-0.0039155619981231255,0.0039155619981231255,-0.00041905543859442244,0.00041905543859442244,0.06927731040690696,-0.05658042203800984,0.10391304347826075,0.10996200000000012,288.89206314086914,289.8939514160156,0.3051097767015562,32
10,10,110,0.101087,101087,100,-0.010377174708508827,0.010377174708508827,-0.06358529333760016,0.06358529333760016,-0.0017380417012241125,0.0017380417012241125,-0.00018881315618190562,0.00018881315618190562,0.06358529333760016,-0.027340830915997084,0.10713055303717135,0.1101,325.8253355026245,329.20648193359375,0.27173629328102894,32
11,55,155,0.101165,101165,100,-0.00825602440136953,0.00825602440136953,0.05729232852138325,0.05729232852138325,0.0004383152322580073,0.0004383152322580073,4.8443868930063e-05,4.8443868930063e-05,0.05729232852138325,0.007650654030539558,0.11094405594405596,0.11009849999999999,259.83008670806885,261.9752502441406,0.20338591371504428,32
12,358,458,0.101138,101138,100,-0.004290196188865587,0.004290196188865587,-0.0736282952281426,0.0736282952281426,-0.005224308877070903,0.005224308877070903,-0.0005557643028238404,0.0005557643028238404,0.0736282952281426,-0.07107461800591464,0.10247225647348945,0.11002050000000008,316.09968090057373,317.455810546875,0.26649685463593076,32
13,155,255,0.101047,101047,100,-0.005072200009241459,0.005072200009241459,0.0700282311100523,0.0700282311100523,0.0007008269165735251,0.0007008269165735251,7.748729741907667e-05,7.748729741907667e-05,0.0700282311100523,0.010008111073444716,0.1111160151324086,0.11000950000000004,309.42051696777344,310.9899597167969,0.3308578052787747,32
14,836,937,0.101633,101633,100,0.0010906586651717133,0.0010906586651717133,0.042496883413753565,0.042496883413753565,0.0013384327391008641,0.0013384327391008641,0.00014926720855754484,0.00014926720855754484,0.042496883413753565,0.03150526431244922,0.11325242718446582,0.10973999999999995,200.29187536239624,200.07342529296875,0.25376242487111594,32
15,802,902,0.100657,100657,100,0.00825154799985311,0.00825154799985311,-0.05590264246265767,0.05590264246265767,-0.0016945233246492418,0.0016945233246492418,-0.00018331650142837142,0.00018331650142837142,0.05590264246265767,-0.030321332294372737,0.10651729004940014,0.10979649999999996,242.24562072753906,240.24671936035156,0.37083056119621954,32
16,608,707,0.10023,100230,100,-0.007672080358849105,0.007672080358849105,-0.06042037792347028,0.06042037792347028,-0.0010328002039502223,0.0010328002039502223,-0.00011269592933441852,0.00011269592933441852,0.06042037792347028,-0.01709523919709192,0.10817630264097078,0.11004150000000024,237.8024525642395,239.62689208984375,0.29630517506929677,32
17,95,195,0.101091,101091,100,0.015228604760148052,0.015228604760148052,0.05356156690728477,0.05356156690728477,0.001999390068320296,0.001999390068320296,0.00022431372667005724,0.00022431372667005724,0.05356156690728477,0.03734617260552138,0.114245960502693,0.110058,230.1286997795105,226.62416076660156,0.45379051850635077,32
18,572,672,0.101064,101064,100,0.003543505275221955,0.003543505275221955,0.06443846697404489,0.06443846697404489,0.0017398172404694049,0.0017398172404694049,0.00019404793255138467,0.00019404793255138467,0.06443846697404489,0.02700623202883632,0.11301886792452798,0.11000750000000015,225.84163761138916,225.04136657714844,0.40949989229457057,32
19,534,634,0.101137,101137,100,-0.0021697238914393925,0.0021697238914393925,-0.06782986216567283,0.06782986216567283,-0.002830677768262205,0.002830677768262205,-0.00030548299581057824,0.00030548299581057824,0.06782986216567283,-0.04175628055623225,0.10561983471074377,0.11012350000000004,259.34363746643066,259.9063415527344,0.28238218258887915,32
20,10,110,0.101087,101087,100,0.011920121636785758,0.011920121636785758,0.06161115793843335,0.06161115793843335,0.004561398613319746,0.004561398613319746,0.0005222594389611367,0.0005222594389611367,0.06161115793843335,0.07417098287981318,0.11857670221493027,0.1101,228.9888677597046,226.25929260253906,0.2930582474786052,32
21,760,860,0.100851,100851,100,-0.001188921961115056,0.001188921961115056,0.07787768786783575,0.07787768786783575,0.003560161277295936,0.003560161277295936,0.00040068861977930016,0.00040068861977930016,0.07787768786783575,0.04574666436878337,0.11506160164271062,0.10991650000000008,299.02820682525635,299.38372802734375,0.21118568428735074,32
22,850,951,0.101378,101378,100,0.0053466153393464475,0.0053466153393464475,-0.07766638322630465,0.07766638322630465,-0.0013678614086906405,0.0013678614086906405,-0.000148701068910889,0.000148701068910889,0.07766638322630465,-0.017613835063787726,0.10774488697524254,0.10965950000000002,288.2529697418213,286.7117919921875,0.27024410415320477,32
23,703,803,0.1008,100800,100,0.0103091252626349,0.0103091252626349,0.0527220456833553,0.0527220456833553,0.0004760748942681137,0.0004760748942681137,5.2601089566622606e-05,5.2601089566622606e-05,0.0527220456833553,0.009030147224132923,0.11098570577724831,0.1099880000000002,267.1658058166504,264.41156005859375,0.6186186639898986,32
24,802,902,0.100657,100657,100,-0.01271509858816003,0.01271509858816003,-0.07928835641870624,0.07928835641870624,-0.00011616047104871956,0.00011616047104871956,-1.274468438951602e-05,1.274468438951602e-05,0.07928835641870624,-0.0014650392491667814,0.10963576158940391,0.10979649999999996,288.038911819458,291.70135498046875,0.4289742623547622,32
25,14,114,0.10121,101210,100,0.007633526514381293,0.007633526514381293,-0.06286138843246929,0.06286138843246929,-0.0012200016660594585,0.0012200016660594585,-0.00013304367107332826,0.00013304367107332826,0.06286138843246929,-0.019410243833138698,0.10798353909465022,0.1101,293.2329387664795,290.9945373535156,0.3411389877519956,32
26,89,189,0.101211,101211,100,0.006050019352415303,0.006050019352415303,0.07387666926896871,0.07387666926896871,0.0010352869564233184,0.0010352869564233184,0.00011484356722405051,0.00011484356722405051,0.07387666926896871,0.014014637449680439,0.11170103092783501,0.1101465,268.8927364349365,267.26593017578125,0.282159262270298,32
27,277,377,0.100788,100788,100,-0.014966916583096086,0.014966916583096086,0.0643349657920573,0.0643349657920573,0.00119146541456233,0.00119146541456233,0.00013221581475321656,0.00013221581475321656,0.0643349657920573,0.01852183558628956,0.11198711595639244,0.10993200000000003,253.15405750274658,256.9429931640625,0.49558904611034227,32
28,340,440,0.101055,101055,100,-0.0014176595902958347,0.0014176595902958347,0.0757674216267106,0.0757674216267106,0.005638570303858688,0.005638570303858688,0.0006450724299179131,0.0006450724299179131,0.0757674216267106,0.07455729904012355,0.1185018495684339,0.10998800000000009,280.6009521484375,280.9987487792969,0.5114170461675982,32
29,807,908,0.10148,101480,100,0.01311532558226111,0.01311532558226111,0.03565716774569533,0.03565716774569533,0.00048325709873853136,0.00048325709873853136,5.3424419100229695e-05,5.3424419100229695e-05,0.03565716774569533,0.013553703808753313,0.1112947799385876,0.10979649999999996,97.33297300338745,96.0564193725586,0.37246193590058063,32
30,649,749,0.100727,100727,100,-0.019357622048951802,0.019357622048951802,0.07940874108046159,0.07940874108046159,0.0028510542491340762,0.0028510542491340762,0.0003192838194078427,0.0003192838194078427,0.07940874108046159,0.035918970910673545,0.11396226415094324,0.10994150000000014,353.66301918029785,360.50909423828125,0.42632666283632914,32
31,295,395,0.100835,100835,100,-0.00909034185704757,0.00909034185704757,0.05645187286021075,0.05645187286021075,0.0006533892874397073,0.0006533892874397073,7.223085249353039e-05,7.223085249353039e-05,0.05645187286021075,0.011574788107216,0.11118401206636486,0.10990450000000007,201.73733615875244,203.57119750976562,0.3882298299283906,32
32,171,271,0.1009,100900,100,-0.0020957660459149426,0.0020957660459149426,-0.03335637504213744,0.03335637504213744,-0.000525409566822439,0.000525409566822439,-5.730838382999552e-05,5.730838382999552e-05,0.03335637504213744,-0.015752701699428898,0.10820793609894364,0.10992600000000005,183.6680989265442,184.0530242919922,0.27029111114691146,32
33,890,991,0.101611,101611,100,0.002005255065018149,0.002005255065018149,-0.05752461891440799,0.05752461891440799,-0.00022444051119207574,0.00022444051119207574,-2.469816217899637e-05,2.469816217899637e-05,0.05752461891440799,-0.0039016625283277446,0.10982815057283135,0.11025750000000001,297.61602210998535,297.01922607421875,0.27128369486265347,32
34,695,795,0.100783,100783,100,-0.003949180829982287,0.003949180829982287,0.06245969055829262,0.06245969055829262,0.0015628280545305067,0.0015628280545305067,0.0001739694565711484,0.0001739694565711484,0.06245969055829262,0.025026610116048457,0.11269230769230754,0.1099070000000002,282.0739965438843,283.1879577636719,0.39612924637244085,32
35,160,260,0.101147,101147,100,0.004510947580966644,0.004510947580966644,-0.06484031014598828,0.06484031014598828,-0.0015155830416063484,0.0015155830416063484,-0.00016481499746689055,0.00016481499746689055,0.06484031014598828,-0.023378345054134546,0.10746113989637301,0.11000300000000005,327.389986038208,325.91314697265625,0.27465981064239714,32
36,839,940,0.101516,101516,100,0.006920355182051909,0.006920355182051909,-0.06382406959506474,0.06382406959506474,-0.0016441737428306673,0.0016441737428306673,-0.00019432857170279046,0.00019432857170279046,0.06382406959506474,-0.025766730422867,0.11665024630541865,0.119695,300.737060546875,298.6558532714844,0.2678121517525412,32
37,794,894,0.100675,100675,100,5.244169161266573e-05,5.244169161266573e-05,-0.052968651272217525,0.052968651272217525,-0.0006157284678383607,0.0006157284678383607,-6.72204062209165e-05,6.72204062209165e-05,0.052968651272217525,-0.011624917551210884,0.1085339398180547,0.10980299999999998,193.6565637588501,193.6464080810547,0.37981476312479745,32
38,406,506,0.100827,100827,100,0.004931942747453306,0.004931942747453306,0.056245163837647785,0.056245163837647785,0.0011427126167803873,0.0011427126167803873,0.00012696871379545756,0.00012696871379545756,0.056245163837647785,0.020319433742708577,0.1122289156626507,0.10997150000000006,162.13734436035156,161.3376922607422,0.2519676858242411,32
