metric,tau,accuracy,balanced_accuracy,macro_f1
true,0.0192882428451402,1.0,1.0,1.0
heuristic,0.10438473561764555,0.9666666666666667,0.9666666666666667,0.9665831244778613
tanh,0.006373590291216803,0.9666666666666667,0.9666666666666667,0.9665831244778613
pgap,0.003753587372749595,0.9666666666666667,0.9666666666666667,0.9665831244778613
