query_id,correlation_type,heuristic_correlation,tanh_correlation,pgap_correlation,js_divergence,lift,p_c,p_g,true_correlation,expected_random_gk,admissible_gk,subset_size,k_used
0,Positive,-0.5134727540826185,-0.3387835335656914,-0.006805619411486023,0.5134727540826185,-0.7924393881404854,0.010964875230194834,0.02421897558386421,0.04608956208415708,277.3393850078005,264.55693420410154,17649,100
0,Negative,-0.5134727540826185,-0.05017332041634577,-0.0005613968777970827,0.5134727540826185,-0.0980264785026329,0.010615711252653925,0.011709044585987427,-0.7367549791093978,326.73282826803626,567.4548663330078,1312,100
0,Random,-0.10761222521494597,-0.04953243721802174,-0.0004224640927784037,0.10761222521494597,-0.497674538777887,0.006087533156498681,0.010013333333333319,-0.0003280144201871054,297.4223906603851,297.5199494934082,5008,100
1,Positive,0.5313487423683956,0.38173537892044157,0.00678482587120493,0.5313487423683956,0.9043868120833501,0.021453039157747322,0.00868397558386412,0.120839630311581,307.21364544558963,270.09006210327146,7873,100
1,Negative,-0.5313487423683956,-0.05192004929511704,-0.0005809412916561429,0.5313487423683956,-0.09802647850262249,0.010615711252654036,0.011709044585987427,-0.7142638123809908,358.72894198649715,614.9560437011719,1312,100
1,Random,-0.1173744375480438,-0.023784682134220376,-0.00021714674294970193,0.1173744375480438,-0.20548341784486288,0.008109965635738847,0.009959999999999969,-0.005152982255442998,301.91213420979216,303.46788208007814,9952,100
2,Positive,0.5688173186541832,0.5345691661847934,0.040519500190219625,0.5688173186541832,1.736253365679522,0.08646862133285138,0.015233975583863968,0.08381108585385548,321.9383993441775,294.95639251708985,15733,100
2,Negative,-0.5688173186541832,-0.07699095490617089,-0.0006166927763075738,0.5688173186541832,-0.13618846729356363,0.007430997876857754,0.008515164543524415,-0.7830626018787893,370.05141568929884,659.8248400878906,1301,100
2,Random,-0.12950877030982447,-0.02055559640597272,-0.0001891728141215879,0.12950877030982447,-0.16007306038973232,0.008414304993252353,0.009874999999999995,-0.0157604848123414,341.79150823100673,347.1783081054688,4905,100
3,Positive,0.5035916607403024,0.22167245075727357,0.004687165727468886,0.5035916607403024,0.4724576698835275,0.024718948468896676,0.015411475583864104,0.10380789663307297,290.38550985775527,260.2412008666992,10704,100
3,Negative,-0.5035916607403024,-0.04920780226881797,-0.0005505935490761486,0.5035916607403024,-0.0980264785026329,0.010615711252653925,0.011709044585987427,-0.7665164347841075,345.5170001999899,610.361459350586,1312,100
3,Random,-0.12318599742322707,-0.013534190903233706,-0.0001278270721851583,0.12318599742322707,-0.11031323310430861,0.008897324656543693,0.009935000000000027,-0.008992172631151544,308.13970345070203,310.9105488586426,4912,100
4,Positive,0.6174400671985578,0.5632879603333123,0.012013314186063663,0.6174400671985578,1.5410448095297629,0.024758957139866797,0.005302308917197449,0.22250813448779166,295.81516552096184,229.99388488769532,3815,100
4,Negative,-0.6174400671985578,-0.06033235080757321,-0.0006750678068038604,0.6174400671985578,-0.0980264785026329,0.010615711252653925,0.011709044585987427,-0.8507287211491282,334.20903899407546,618.5302673339844,1312,100
4,Random,-0.1183871930388979,-0.030855244944062155,-0.00027275881258164927,0.1183871930388979,-0.266784118200673,0.007535211267605646,0.009839166666666677,-0.016422678652124042,288.4633876984545,293.2007292175293,4893,100
5,Positive,0.5230217536975417,0.44958066478131403,0.02139707265243146,0.5230217536975417,1.2917459055428129,0.05641195875433125,0.015501475583864166,0.08881218738493349,291.31744791479963,265.44490814208984,16054,100
5,Negative,-0.5230217536975417,-0.07079240194223993,-0.0005670427513004189,0.5230217536975417,-0.1361884672935645,0.007430997876857747,0.008515164543524415,-0.9312207816246597,340.2162639133757,657.032719116211,1301,100
5,Random,0.12207997685033287,0.008871532526321403,9.184110238176286e-05,0.12207997685033287,0.0727981688785447,0.010714802750633363,0.0099625,-0.014633289530720902,310.23726876974723,314.777060546875,5066,100
6,Positive,0.574766581593281,0.532643183736552,0.05434208453386006,0.574766581593281,1.6345878338626114,0.11745366264434198,0.02290730891719739,0.20892335130314776,255.1284544325719,201.82616271972657,16610,100
6,Negative,-0.574766581593281,-0.056162566822862664,-0.0006284114625420201,0.574766581593281,-0.09802647850262249,0.010615711252654036,0.011709044585987427,-0.586934437798115,343.78950685124954,545.5714077758789,1312,100
6,Random,0.1162755872270658,0.02447519085863075,0.0002732697076267467,0.1162755872270658,0.21368708989419619,0.012215189873417714,0.009865000000000013,-0.01858496678722525,294.4019767739379,299.873427734375,4932,100
7,Positive,0.5172982747766619,0.2109483144703939,0.004621937820890096,0.5172982747766619,0.43295580136747136,0.02542540589899947,0.016490642250530763,0.06835512196726629,319.01365406118913,297.20743682861325,17241,100
7,Negative,-0.5172982747766619,-0.07001771366701923,-0.0005608375462370317,0.5172982747766619,-0.1361884672935645,0.007430997876857747,0.008515164543524415,-0.7975762958232685,370.59419128191473,666.1713336181641,1301,100
7,Random,-0.12279213076015852,-0.006736566072578133,-6.539648366583082e-05,0.12279213076015852,-0.05491668570374614,0.009434087882822906,0.00996666666666668,0.004025107135813358,340.9742400734105,339.6017822265625,5016,100
8,Positive,0.5309343118966731,0.48843186901466595,0.04643288120061545,0.5309343118966731,1.5886873840081177,0.1098948483828931,0.022439808917197546,0.06584729763072973,281.81881706501514,263.2618095397949,16260,100
8,Negative,-0.5309343118966731,-0.07186338798911893,-0.0005756212831479768,0.5309343118966731,-0.1361884672935644,0.007430997876857748,0.008515164543524415,-1.0991861808934358,326.3362107193499,685.0404638671876,1301,100
8,Random,-0.09629356376462027,-0.019222549333702262,-0.0003506132263103443,0.09629356376462027,-0.2023413827057388,0.01623557984213722,0.01987666666666666,0.013290022712630953,288.56704778767204,284.731985168457,9871,100
9,Positive,0.6319423002982213,0.6059713164150909,0.026619898811061332,0.6319423002982213,1.9321013819983408,0.04925874776177089,0.007134808917197456,0.21086672295877673,282.3790164893297,222.83467864990234,3979,100
9,Negative,-0.6319423002982213,-0.06174941759890071,-0.000690923581659495,0.6319423002982213,-0.0980264785026329,0.010615711252653925,0.011709044585987427,-0.9451700544937691,320.4137355761495,623.2592034912109,1312,100
9,Random,0.08608243821800682,0.0038723910585062456,7.903312508784591e-05,0.08608243821800682,0.04501506229978405,0.020858109741358488,0.019939999999999958,-0.002271290468966052,260.2966900838069,260.88789947509764,9892,100
