metric,tau,actual_class,predicted_class,count,metric_accuracy
heuristic,0.029397102401332836,negative,negative,10,0.6333333333333333
heuristic,0.029397102401332836,negative,random,0,0.6333333333333333
heuristic,0.029397102401332836,negative,positive,0,0.6333333333333333
heuristic,0.029397102401332836,random,negative,7,0.6333333333333333
heuristic,0.029397102401332836,random,random,0,0.6333333333333333
heuristic,0.029397102401332836,random,positive,3,0.6333333333333333
heuristic,0.029397102401332836,positive,negative,1,0.6333333333333333
heuristic,0.029397102401332836,positive,random,0,0.6333333333333333
heuristic,0.029397102401332836,positive,positive,9,0.6333333333333333
tanh,0.029397102401332836,negative,negative,10,0.9
tanh,0.029397102401332836,negative,random,0,0.9
tanh,0.029397102401332836,negative,positive,0,0.9
tanh,0.029397102401332836,random,negative,2,0.9
tanh,0.029397102401332836,random,random,8,0.9
tanh,0.029397102401332836,random,positive,0,0.9
tanh,0.029397102401332836,positive,negative,1,0.9
tanh,0.029397102401332836,positive,random,0,0.9
tanh,0.029397102401332836,positive,positive,9,0.9
pgap,0.029397102401332836,negative,negative,0,0.43333333333333335
pgap,0.029397102401332836,negative,random,10,0.43333333333333335
pgap,0.029397102401332836,negative,positive,0,0.43333333333333335
pgap,0.029397102401332836,random,negative,0,0.43333333333333335
pgap,0.029397102401332836,random,random,10,0.43333333333333335
pgap,0.029397102401332836,random,positive,0,0.43333333333333335
pgap,0.029397102401332836,positive,negative,0,0.43333333333333335
pgap,0.029397102401332836,positive,random,7,0.43333333333333335
pgap,0.029397102401332836,positive,positive,3,0.43333333333333335
