correlation,strategy,recall,qps,time_s
Positive,ACORN,0.91375,1161.3175266846501,8.610909394046757
Positive,Post-filter,0.836829,731.717,13.6665
Positive,Pre-filter,0.9998920000000002,3875.97,2.58
Negative,ACORN,0.49251399999999995,1205.6405782071006,8.294345911010168
Negative,Post-filter,0.0,731.015,13.6796
Negative,Pre-filter,0.9999049999999999,104172.0,0.0959951
Random,ACORN,0.4800540000000001,1071.2260685387382,9.335097691975534
Random,Post-filter,0.244716,730.386,13.6914
Random,Pre-filter,0.9999830000000002,8670.46,1.15334
