metric,tau,actual_class,metric_accuracy,negative,random,positive
heuristic,0.029397102401332836,negative,0.6333333333333333,10,0,0
heuristic,0.029397102401332836,random,0.6333333333333333,7,0,3
heuristic,0.029397102401332836,positive,0.6333333333333333,1,0,9
tanh,0.029397102401332836,negative,0.9,10,0,0
tanh,0.029397102401332836,random,0.9,2,8,0
tanh,0.029397102401332836,positive,0.9,1,0,9
pgap,0.029397102401332836,negative,0.43333333333333335,0,10,0
pgap,0.029397102401332836,random,0.43333333333333335,0,10,0
pgap,0.029397102401332836,positive,0.43333333333333335,0,7,3
