metric,tau,accuracy,balanced_accuracy,macro_f1
true,0.04530333608573103,1.0,1.0,1.0
heuristic,0.10438473561764555,0.9666666666666667,0.9666666666666667,0.9665831244778613
tanh,0.026088259737914486,0.9666666666666667,0.9666666666666667,0.9665831244778613
pgap,0.004520772212549714,0.9666666666666667,0.9666666666666667,0.9665831244778613
