correlation,strategy,recall,qps,time_s
Positive,ACORN,0.838366,1114.8513751703438,8.969805502973031
Positive,Post-filter,0.6043869999999999,7402.37,1.35092
Positive,Pre-filter,0.9998790000000001,142.696,70.0789
Negative,ACORN,0.8506030000000001,1100.0218342640164,9.090728646027856
Negative,Post-filter,0.324226,541.161,18.4788
Negative,Pre-filter,0.999862,131.553,76.0149
Random,ACORN,0.9223740000000001,1113.8904297426704,8.977543690998573
Random,Post-filter,0.711645,2966.31,3.37119
Random,Pre-filter,0.9999110000000001,127.363,78.5157
