correlation,strategy,recall,qps,time_s
Positive,ACORN,0.838366,1136.3148512771752,8.80037780792918
Positive,Post-filter,0.8096530000000001,1724.69,5.79814
Positive,Pre-filter,0.9998790000000001,143.391,69.7396
Negative,ACORN,0.8506030000000001,1113.0068827584766,8.984670404926874
Negative,Post-filter,0.5806319999999999,8.47304,1180.21
Negative,Pre-filter,0.999862,128.294,77.9459
Random,ACORN,0.9223740000000001,1106.046939153887,9.041207607020624
Random,Post-filter,0.891951,530.681,18.8437
Random,Pre-filter,0.9999110000000001,125.744,79.5268
