metric,tau,accuracy,balanced_accuracy,macro_f1
true,0.03800683997329563,1.0,1.0,1.0
heuristic,0.10438473561764555,0.9666666666666667,0.9666666666666667,0.9665831244778613
tanh,0.028363545284698952,0.9666666666666667,0.9666666666666667,0.9665831244778613
pgap,0.0013520660140296991,0.9333333333333333,0.9333333333333332,0.9333333333333332
