tau,accuracy,balanced_accuracy,macro_f1
0.0,0.6333333333333333,0.6333333333333333,0.5120772946859904
0.00027041320280593985,0.7,0.7000000000000001,0.6409661835748793
0.0005408264056118797,0.7666666666666667,0.7666666666666666,0.7412008281573499
0.0008112396084178195,0.8666666666666667,0.8666666666666667,0.8632543926661573
0.0010816528112237594,0.8666666666666667,0.8666666666666667,0.8624338624338623
0.0013520660140296991,0.9333333333333333,0.9333333333333332,0.9333333333333332
0.001622479216835639,0.9333333333333333,0.9333333333333332,0.934609250398724
0.001892892419641579,0.9333333333333333,0.9333333333333332,0.934609250398724
0.002163305622447519,0.8,0.7999999999999999,0.7944219523166892
0.0024337188252534585,0.7,0.7000000000000001,0.6567856422665861
0.0027041320280593983,0.6333333333333333,0.6333333333333333,0.5308432371250708
0.0029745452308653384,0.6333333333333333,0.6333333333333333,0.5308432371250708
0.003244958433671278,0.6333333333333333,0.6333333333333333,0.5308432371250708
0.003515371636477218,0.6333333333333333,0.6333333333333333,0.5308432371250708
0.003785784839283158,0.6333333333333333,0.6333333333333333,0.5308432371250708
0.004056198042089097,0.6333333333333333,0.6333333333333333,0.5308432371250708
0.004326611244895038,0.6333333333333333,0.6333333333333333,0.5308432371250708
0.004597024447700978,0.6333333333333333,0.6333333333333333,0.5308432371250708
0.004867437650506917,0.6333333333333333,0.6333333333333333,0.5308432371250708
0.005137850853312857,0.6333333333333333,0.6333333333333333,0.5308432371250708
0.0054082640561187965,0.6333333333333333,0.6333333333333333,0.5308432371250708
0.005678677258924737,0.6,0.6,0.5046296296296297
0.005949090461730677,0.6,0.6,0.5046296296296297
0.006219503664536616,0.6,0.6,0.5046296296296297
0.006489916867342556,0.6,0.6,0.5046296296296297
0.0067603300701484965,0.6,0.6,0.5046296296296297
0.007030743272954436,0.6,0.6,0.5046296296296297
0.007301156475760376,0.6,0.6,0.5046296296296297
0.007571569678566316,0.6,0.6,0.5046296296296297
0.007841982881372256,0.6,0.6,0.5046296296296297
0.008112396084178195,0.6,0.6,0.5046296296296297
0.008382809286984136,0.6,0.6,0.5046296296296297
0.008653222489790075,0.6,0.6,0.5046296296296297
0.008923635692596014,0.6,0.6,0.5046296296296297
0.009194048895401956,0.6,0.6,0.5046296296296297
0.009464462098207895,0.6,0.6,0.5046296296296297
0.009734875301013834,0.6,0.6,0.5046296296296297
0.010005288503819775,0.6,0.6,0.5046296296296297
0.010275701706625714,0.6,0.6,0.5046296296296297
0.010546114909431654,0.6,0.6,0.5046296296296297
0.010816528112237593,0.6,0.6,0.5046296296296297
0.011086941315043534,0.6,0.6,0.5046296296296297
0.011357354517849473,0.6,0.6,0.5046296296296297
0.011627767720655413,0.6,0.6,0.5046296296296297
0.011898180923461354,0.6,0.6,0.5046296296296297
0.012168594126267293,0.6,0.6,0.5046296296296297
0.012439007329073232,0.6,0.6,0.5046296296296297
0.012709420531879173,0.6,0.6,0.5046296296296297
0.012979833734685113,0.6,0.6,0.5046296296296297
0.013250246937491052,0.6,0.6,0.5046296296296297
0.013520660140296993,0.5666666666666667,0.5666666666666667,0.4765300059417707
0.013791073343102932,0.5666666666666667,0.5666666666666667,0.4765300059417707
0.014061486545908872,0.5666666666666667,0.5666666666666667,0.4765300059417707
0.014331899748714813,0.5666666666666667,0.5666666666666667,0.4765300059417707
0.014602312951520752,0.5666666666666667,0.5666666666666667,0.4765300059417707
0.014872726154326691,0.5666666666666667,0.5666666666666667,0.4765300059417707
