query_id,range_lo,range_hi,actual_selectivity,subset_size,k_used,true_correlation,abs_true_correlation,heuristic_correlation,abs_heuristic_correlation,tanh_correlation,abs_tanh_correlation,pgap_correlation,abs_pgap_correlation,js_divergence,lift,p_c,p_g,expected_random_gk,admissible_gk,expected_random_gk_stderr,monte_carlo_samples
0,507,507,0.001019,1019,100,-0.0021608462827800426,0.0021608462827800426,-0.05363087591034566,0.05363087591034566,-0.010605193928836394,0.010605193928836394,-9.771591527375472e-05,9.771591527375472e-05,0.05363087591034566,-0.20038384781761648,0.00821199143468948,0.010033999999999987,305.5774869918823,306.23779296875,0.6086603424444209,32
1,370,370,0.001023,1023,100,-0.012248184511592885,0.012248184511592885,0.07875465186001471,0.07875465186001471,0.02393881477307047,0.02393881477307047,0.0002898853468848324,0.0002898853468848324,0.07875465186001471,0.3138846743678533,0.013663366336633676,0.009982500000000005,383.0969123840332,387.7891540527344,0.7906963228592809,32
2,788,789,0.001888,1888,100,0.004025811073501614,0.004025811073501614,-0.06923437446101935,0.06923437446101935,-0.007278754676508685,0.007278754676508685,-6.919286828130665e-05,6.919286828130665e-05,0.06923437446101935,-0.10552201500809294,0.00898009950248757,0.00997950000000003,369.90797233581543,368.4187927246094,0.6452905003867716,32
3,3,3,0.001012,1012,100,0.011460033856448695,0.011460033856448695,0.04940988969778585,0.04940988969778585,0.0006671698316042278,0.0006671698316042278,6.717356605439094e-06,6.717356605439094e-06,0.04940988969778585,0.01350357969339197,0.010135951661631419,0.01,313.3895196914673,309.7980651855469,0.8584402622460223,32
4,203,204,0.001913,1913,100,-0.0008923613497262825,0.0008923613497262825,-0.06538315424447007,0.06538315424447007,-0.0010211846404059827,0.0010211846404059827,-1.0142958544614368e-05,1.0142958544614368e-05,0.06538315424447007,-0.015619737210639925,0.009854368932038837,0.010009500000000005,349.9198007583618,350.2320556640625,0.6383290385663722,32
5,787,787,0.001017,1017,100,0.007899908694680503,0.007899908694680503,0.059611628134758114,0.059611628134758114,0.00502497715757238,0.00502497715757238,5.245078130506877e-05,5.245078130506877e-05,0.059611628134758114,0.0844957652181135,0.010859375000000004,0.00997950000000003,352.1119747161865,349.330322265625,0.660691595446942,32
6,145,145,0.001023,1023,100,-0.005331875387615163,0.005331875387615163,0.05886646364957143,0.05886646364957143,0.006832161034522395,0.006832161034522395,7.244964012582839e-05,7.244964012582839e-05,0.05886646364957143,0.11658741261437637,0.011183745583038862,0.00995299999999999,317.36078929901123,319.05291748046875,0.8490731721966895,32
7,176,176,0.001048,1048,100,0.005661593102760246,0.005661593102760246,-0.054370154879516214,0.054370154879516214,-0.003470287616814042,0.003470287616814042,-3.365616479057841e-05,3.365616479057841e-05,0.054370154879516214,-0.06391395621255917,0.009378980891719735,0.009998000000000007,340.9886751174927,339.0581359863281,0.7807471675565276,32
8,323,324,0.001868,1868,100,0.007978559543846934,0.007978559543846934,0.057953395150747995,0.057953395150747995,0.008192136786322265,0.008192136786322265,8.815648459812889e-05,8.815648459812889e-05,0.057953395150747995,0.14231030354063434,0.011467661691542286,0.009946500000000025,326.4485836029053,323.843994140625,0.6563385906015886,32
9,48,49,0.001891,1891,100,-0.01881367072597125,0.01881367072597125,0.0689429412138381,0.0689429412138381,0.0006553027711320336,0.0006553027711320336,6.570313178078455e-06,6.570313178078455e-06,0.0689429412138381,0.009505287925337997,0.010073800738007385,0.009978500000000001,324.03119468688965,330.1274108886719,0.5181988073957926,32
10,916,916,0.001026,1026,100,0.0031402972961419575,0.0031402972961419575,-0.05813912536358103,0.05813912536358103,-0.011772373692854008,0.011772373692854008,-0.00010744092297531494,0.00010744092297531494,0.05813912536358103,-0.20532374969718745,0.008108003108003081,0.009955999999999965,346.6663637161255,345.5777282714844,0.6630824268819868,32
11,613,614,0.001922,1922,100,-0.014680686470125194,0.014680686470125194,-0.06544267897336235,0.06544267897336235,-0.01779245001993755,0.01779245001993755,-0.00015932065019817404,0.00015932065019817404,0.06544267897336235,-0.27889102360283546,0.007568493150684974,0.010002999999999984,340.75047874450684,345.7529296875,0.54637247731633,32
12,890,891,0.001901,1901,100,0.011551406417440693,0.011551406417440693,0.07002422411653339,0.07002422411653339,0.004643691885922147,0.004643691885922147,4.764664543890844e-05,4.764664543890844e-05,0.07002422411653339,0.06641297669377502,0.010589430894308971,0.009908999999999946,347.5558662414551,343.5411071777344,0.6137018875526341,32
13,390,390,0.001019,1019,100,-0.013778249674729634,0.013778249674729634,0.05728351329505845,0.05728351329505845,0.007656665545286031,0.007656665545286031,8.279697565684691e-05,8.279697565684691e-05,0.05728351329505845,0.13446727401819808,0.011487889273356422,0.01004250000000001,335.5726547241211,340.1962585449219,0.6965755843860687,32
14,406,406,0.001036,1036,100,0.0012832596613745536,0.0012832596613745536,-0.047143669749119634,0.047143669749119634,-0.0007142971103546509,0.0007142971103546509,-7.120154759473871e-06,7.120154759473871e-06,0.047143669749119634,-0.015152655310112558,0.009891969017529534,0.010043000000000024,339.6489315032959,339.21307373046875,1.1772794037328946,32
15,908,908,0.00103,1030,100,-0.027879048198510874,0.027879048198510874,-0.04987034925384592,0.04987034925384592,-0.016335908579035364,0.016335908579035364,-0.0001439926754360269,0.0001439926754360269,0.04987034925384592,-0.34010099855450193,0.007127659574468037,0.010014999999999996,365.1927661895752,375.3739929199219,1.3168902657884627,32
