metric,tau,accuracy,balanced_accuracy,macro_f1
true,0.08590421087539804,0.9666666666666667,0.9666666666666667,0.9665831244778613
heuristic,0.10438473561764555,0.9666666666666667,0.9666666666666667,0.9665831244778613
tanh,0.007353511740477506,0.7,0.7000000000000001,0.6388888888888888
pgap,0.0,0.6333333333333333,0.6333333333333333,0.5085470085470085
