metric,tau,actual_class,predicted_class,count,metric_accuracy
heuristic,0.08146768425827197,negative,negative,10,0.4666666666666667
heuristic,0.08146768425827197,negative,random,0,0.4666666666666667
heuristic,0.08146768425827197,negative,positive,0,0.4666666666666667
heuristic,0.08146768425827197,random,negative,6,0.4666666666666667
heuristic,0.08146768425827197,random,random,0,0.4666666666666667
heuristic,0.08146768425827197,random,positive,10,0.4666666666666667
heuristic,0.08146768425827197,positive,negative,0,0.4666666666666667
heuristic,0.08146768425827197,positive,random,0,0.4666666666666667
heuristic,0.08146768425827197,positive,positive,4,0.4666666666666667
tanh,0.08146768425827197,negative,negative,10,0.8
tanh,0.08146768425827197,negative,random,0,0.8
tanh,0.08146768425827197,negative,positive,0,0.8
tanh,0.08146768425827197,random,negative,1,0.8
tanh,0.08146768425827197,random,random,10,0.8
tanh,0.08146768425827197,random,positive,5,0.8
tanh,0.08146768425827197,positive,negative,0,0.8
tanh,0.08146768425827197,positive,random,0,0.8
tanh,0.08146768425827197,positive,positive,4,0.8
pgap,0.08146768425827197,negative,negative,0,0.5333333333333333
pgap,0.08146768425827197,negative,random,10,0.5333333333333333
pgap,0.08146768425827197,negative,positive,0,0.5333333333333333
pgap,0.08146768425827197,random,negative,0,0.5333333333333333
pgap,0.08146768425827197,random,random,13,0.5333333333333333
pgap,0.08146768425827197,random,positive,3,0.5333333333333333
pgap,0.08146768425827197,positive,negative,0,0.5333333333333333
pgap,0.08146768425827197,positive,random,1,0.5333333333333333
pgap,0.08146768425827197,positive,positive,3,0.5333333333333333
