metric,tau,actual_class,metric_accuracy,negative,random,positive
heuristic,0.08146768425827197,negative,0.4666666666666667,10,0,0
heuristic,0.08146768425827197,random,0.4666666666666667,6,0,10
heuristic,0.08146768425827197,positive,0.4666666666666667,0,0,4
tanh,0.08146768425827197,negative,0.8,10,0,0
tanh,0.08146768425827197,random,0.8,1,10,5
tanh,0.08146768425827197,positive,0.8,0,0,4
pgap,0.08146768425827197,negative,0.5333333333333333,0,10,0
pgap,0.08146768425827197,random,0.5333333333333333,0,13,3
pgap,0.08146768425827197,positive,0.5333333333333333,0,1,3
